,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Product-Profit,Return on Sales,Profit Per Quantity Sold
0,3MM-1527-1(6),2.0,23.2,3.48,12.38,4.74,2.599999999999998,1.299999999999999,1.299999999999999
1,3MM-1527-1(B),20.0,350.0,52.600000000000016,146.35000000000002,0.0,151.04999999999995,7.5524999999999975,7.5524999999999975
2,3MM-1527-1-12,22.0,380.1999999999998,57.13999999999999,139.96,104.06000000000006,79.03999999999974,3.592727272727261,3.592727272727261
3,3MM-1527-1-12 (2),45.0,759.2300000000002,91.05000000000001,291.4300000000001,0.0,376.7500000000001,8.372222222222225,8.372222222222225
4,3MM-1527-1-6,14.0,162.85,24.449999999999996,91.42999999999999,0.0,46.97,3.355,3.355
5,3MM-1527-2,7.0,167.24,25.1,55.00999999999999,30.1,57.03000000000003,8.147142857142862,8.147142857142862
6,3MM-1538-1,1.0,22.9,3.44,6.11,0.0,13.349999999999998,13.349999999999998,13.349999999999998
7,3MM-1624W,938.0,25283.310000000234,3034.0600000000054,5584.009999999991,8442.0,8223.240000000238,8.766780383795563,8.766780383795563
8,3MM-1624W(10),32.0,192.0,25.240000000000006,127.51000000000005,28.799999999999986,10.44999999999996,0.32656249999999876,0.32656249999999876
9,3MM-1624W(20),37.0,286.15999999999997,42.92,133.2300000000001,66.59999999999995,43.40999999999991,1.173243243243241,1.173243243243241
10,3MM-1624W(50),16.0,249.0,37.349999999999994,60.56,72.0,79.09,4.943125,4.943125
11,3MM-1626W,543.0,15340.009999999966,1839.4700000000012,3480.6100000000124,5332.260000000001,4687.669999999951,8.632909760589229,8.632909760589229
12,3MM-2862(X12),3.0,164.35,19.72,20.12,78.48,46.02999999999999,15.343333333333328,15.343333333333328
13,3MM-R1547,544.0,5268.580000000004,586.1299999999954,2115.019999999987,7273.279999999957,-4705.849999999935,-8.65045955882341,-8.65045955882341
14,3MM-R1547(10),903.0,8731.049999999974,697.3800000000015,3595.2299999999705,2411.0100000000266,2027.4299999999757,2.245215946843827,2.245215946843827
15,BSN-76168,100.0,1852.2700000000007,222.32999999999993,651.5000000000007,644.0000000000009,334.43999999999915,3.3443999999999914,3.3443999999999914
16,CON-187660,129.0,2830.0299999999975,424.4999999999997,839.1900000000009,928.8000000000011,637.5399999999959,4.942170542635627,4.942170542635627
17,CON-187955,79.0,3307.24,496.06999999999977,496.74999999999994,1100.4699999999991,1213.9500000000007,15.366455696202541,15.366455696202541
18,DER-31815,145.0,2685.2300000000014,322.17000000000013,1002.0100000000018,912.049999999999,449.00000000000045,3.0965517241379343,3.0965517241379343
19,HP-980CYAN,1.0,110.0,15.8,6.19,0.0,88.00999999999999,88.00999999999999,88.00999999999999
20,HP-980MAGENTA,1.0,63.5,5.08,6.19,0.0,52.230000000000004,52.230000000000004,52.230000000000004
21,HP-980YELLOW,1.0,49.51,3.96,6.19,0.0,39.36,39.36,39.36
22,HP-B5L09A,2.0,58.0,8.7,17.0,0.0,32.3,16.15,16.15
23,KEL-GEL15GM,1058.0,39817.860000000015,5973.349999999933,6148.510000000057,17203.080000000136,10492.91999999989,9.91769376181464,9.91769376181464
24,LUX-NEO110B,2407.0,95486.29000000173,14328.48999999943,18225.120000000174,35262.550000001196,27670.13000000092,11.495691732447412,11.495691732447412
25,LUX-NEO110W,83.0,3242.1899999999955,486.52999999999963,724.6799999999994,1215.95,815.0299999999966,9.819638554216827,9.819638554216827
26,LUX-NEO120B,823.0,37543.01999999957,5633.210000000046,6276.390000000017,15069.129999999946,10564.289999999557,12.836318347508575,12.836318347508575
27,LUX-NEO120W,62.0,2971.0600000000027,445.6099999999996,443.6599999999999,1135.2199999999984,946.5700000000047,15.267258064516206,15.267258064516206
28,LUX-NEO180B,60.0,3633.5999999999976,544.9700000000001,470.54999999999967,1441.7999999999988,1176.2799999999988,19.60466666666665,19.60466666666665
29,LUX-NEO180W,98.0,5510.029999999991,826.2699999999991,774.1700000000013,2354.94,1554.64999999999,15.86377551020398,15.86377551020398
30,LUX-NEO185B,144.0,7613.17999999998,1141.7999999999997,1121.6100000000015,3460.3200000000083,1889.4499999999707,13.121180555555352,13.121180555555352
31,LUX-NEO185W,77.0,3842.4500000000035,576.7300000000005,557.2299999999999,1850.3099999999984,858.1800000000048,11.145194805194867,11.145194805194867
32,LUX-NEO250B,50.0,2967.5000000000005,445.0500000000002,381.11999999999995,1360.5000000000007,780.8299999999995,15.61659999999999,15.61659999999999
33,LUX-NEO250W,19.0,1120.0,167.99999999999994,146.77999999999997,516.9899999999998,288.23000000000025,15.170000000000012,15.170000000000012
34,LUX-NEO320B,530.0,37052.68999999988,5558.800000000006,4110.089999999975,14521.999999999876,12861.800000000021,24.267547169811362,24.267547169811362
35,LUX-NEO320W,64.0,4484.1900000000005,672.67,459.52000000000044,1753.6000000000017,1598.3999999999983,24.974999999999973,24.974999999999973
36,MDL-MSC092534,20.0,340.78999999999996,40.92,91.01,67.60000000000001,141.25999999999993,7.062999999999997,7.062999999999997
37,MDL-NON80328,176.0,2570.959999999995,287.4399999999995,1217.050000000002,603.6799999999995,462.78999999999405,2.6294886363636025,2.6294886363636025
38,MOL-1437,6.0,279.97,37.5,39.269999999999996,42.0,161.20000000000005,26.866666666666674,26.866666666666674
39,MOL-1439,18.0,850.8499999999999,102.08999999999999,122.19000000000001,216.90000000000006,409.66999999999985,22.759444444444437,22.759444444444437
40,MOL-1448,5.0,249.95000000000002,30.0,33.370000000000005,60.25,126.33000000000001,25.266000000000002,25.266000000000002
41,MOL-295200,15.0,520.0,78.0,131.02,107.10000000000001,203.88,13.592,13.592
42,MOL-295300,540.0,15175.839999999955,2277.8300000000063,3401.250000000012,5572.799999999995,3923.9599999999427,7.266592592592486,7.266592592592486
43,MOP-3047_JPA-IP6-BLU,1.0,55.0,4.4,11.78,26.4,12.420000000000002,12.420000000000002,12.420000000000002
44,OMR-BP652,216.0,18900.480000000036,2835.1900000000032,1547.6299999999947,9223.199999999993,5294.460000000045,24.511388888889094,24.511388888889094
45,OMR-BP710N,44.0,2189.280000000002,328.5600000000001,313.66000000000014,1057.3199999999993,489.7400000000025,11.130454545454603,11.130454545454603
46,OMR-BP710N(B),140.0,8058.5599999999795,1208.8799999999999,1049.0800000000004,0.0,5800.599999999979,41.432857142856996,41.432857142856996
47,OMR-BP742N,1470.0,103614.18000000078,15541.459999999899,10250.290000000006,42850.50000000112,34971.92999999976,23.790428571428407,23.790428571428407
48,OMR-BP760N,33.0,3208.88,481.35,292.31,0.0,2435.2200000000003,73.79454545454546,73.79454545454546
49,OMR-BP785N,40.0,5004.98,600.6,319.5300000000001,1945.6000000000017,2139.2499999999977,53.481249999999946,53.481249999999946
50,OMR-BP785N(B),171.0,21394.88,3209.25,1424.5800000000002,0.0,16761.050000000003,98.01783625730995,98.01783625730995
51,OMRON BP760N,4.0,340.0,51.0,27.84,0.0,261.15999999999997,65.28999999999999,65.28999999999999
52,POW-PINNACLE,19.0,585.77,87.86,112.86,0.0,385.04999999999995,20.265789473684208,20.265789473684208
53,PRK 12-08(1),62.0,730.0299999999999,102.36000000000006,376.0199999999999,0.0,251.64999999999986,4.0588709677419335,4.0588709677419335
54,PRK 12-08(2),124.0,1813.56,217.63000000000025,853.480000000001,0.0,742.4499999999987,5.987499999999989,5.987499999999989
55,PRK-01-08,216.0,3051.1400000000012,458.1000000000006,1647.1699999999948,358.560000000001,587.310000000005,2.7190277777778005,2.7190277777778005
56,PRK-01-08(A),1.0,10.98,1.65,6.19,0.0,3.1400000000000006,3.1400000000000006,3.1400000000000006
57,PRK-01-08(X2),254.0,3391.5799999999917,271.20999999999907,1915.359999999996,843.2800000000036,361.7299999999932,1.4241338582676897,1.4241338582676897
58,PRK-03-08,208.0,3084.8599999999974,462.5600000000002,1515.8499999999974,357.76000000000136,748.6899999999982,3.5994711538461455,3.5994711538461455
59,PRK-03-08(X2),410.0,5796.330000000023,556.4699999999985,3085.0099999999925,1410.4000000000124,744.4500000000198,1.8157317073171215,1.8157317073171215
60,PRK-12-02(1),87.0,705.7400000000004,86.55999999999993,518.7700000000001,0.0,100.41000000000031,1.1541379310344864,1.1541379310344864
61,PRK-12-02(A),48.0,384.0,46.080000000000034,207.56000000000006,50.880000000000024,79.4799999999999,1.6558333333333313,1.6558333333333313
62,PRK-12-08,45.0,802.5600000000002,120.40000000000002,287.1600000000003,90.89999999999999,304.09999999999985,6.7577777777777746,6.7577777777777746
63,PRK-12-08(A),236.0,2693.6900000000123,229.0299999999995,1536.270000000005,0.0,928.3900000000078,3.9338559322034232,3.9338559322034232
64,PRK-12-08(X2),373.0,5408.5,649.0200000000025,2607.879999999993,1506.9199999999926,644.6800000000121,1.7283646112600861,1.7283646112600861
65,PRK-12-08(X3),51.0,957.3800000000003,143.6899999999999,354.94,309.06000000000006,149.6900000000004,2.9350980392156942,2.9350980392156942
66,WEL-06000-800,324.0,6499.539999999966,780.0599999999997,2030.9100000000071,2138.399999999992,1550.1699999999673,4.784475308641874,4.784475308641874
